,City,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,-53.15,53.6,50,40,12.75
1,Merauke,-8.47,84.4,73,98,8.66
2,Erenhot,43.65,9.1,91,0,11.79
3,Nikolskoye,59.7,38.41,86,75,6.71
4,Bluff,-46.6,57.0,64,3,5.99
5,Tiksi,71.69,-5.76,90,69,5.26
6,Ushuaia,-54.8,53.6,46,75,23.04
7,Mataura,-46.19,57.0,64,22,5.99
8,Port Alfred,-33.59,65.95,88,100,7.38
9,Shache,38.42,18.95,77,92,6.89
10,Hong Kong,22.29,71.13,85,58,3.0
11,Rikitea,-23.12,74.66,74,11,5.53
12,Lebu,-37.62,54.34,91,3,5.7
13,Saint-Philippe,-21.36,68.0,73,88,6.93
14,Souillac,-20.52,73.4,83,40,8.05
15,Butaritari,3.07,80.82,76,83,12.15
16,San Patricio,28.02,75.29,53,75,11.41
17,General Roca,-39.03,82.4,34,0,4.7
18,Albany,42.6,37.36,86,90,10.33
19,Yellowknife,62.46,3.06,84,90,10.29
20,Arraial do Cabo,-22.97,73.02,77,88,15.01
21,Olafsvik,64.89,37.4,78,66,9.71
22,Salalah,17.02,80.6,69,0,2.24
23,Charter Township of Clinton,42.59,34.11,100,90,8.05
24,Ibrā’,22.69,58.1,78,0,1.83
25,Severo-Kuril'sk,50.68,31.5,89,84,34.16
26,Carnarvon,-24.87,77.0,61,0,13.87
27,Correntina,-13.34,70.79,92,34,5.77
28,Busselton,-33.65,69.01,48,1,4.0
29,Iracoubo,5.48,76.96,91,100,10.69
30,Hermanus,-34.42,57.0,93,49,4.83
31,Dwārka,22.24,72.93,52,0,5.84
32,Laguna,38.42,61.5,36,1,1.07
33,Puerto Escondido,15.85,84.2,70,20,9.17
34,Cape Town,-33.93,60.94,87,20,8.05
35,Vabalninkas,55.97,42.85,80,86,15.35
36,Pisco,-13.7,65.68,77,0,18.34
37,Poum,-20.23,76.84,69,0,11.9
38,Dubbo,-32.25,77.0,65,75,23.04
39,Ivaiporã,-24.25,68.4,56,16,4.09
40,Ewo,-0.87,72.12,89,99,2.26
41,Cherskiy,68.75,5.38,94,100,7.23
42,Mundo Nuevo (Ojo de Agua),18.7,76.35,81,17,13.56
43,Saint-Pierre,-21.34,67.12,73,28,6.93
44,Upernavik,72.79,19.85,84,100,5.14
45,Bredasdorp,-34.53,60.8,87,23,3.36
46,Kloulklubed,7.04,82.4,83,75,1.79
47,Albemarle,35.35,60.03,82,90,1.61
48,Hilo,19.73,73.06,88,90,6.93
49,Port Hedland,-20.32,87.8,52,40,13.87
50,Santa Cruz,30.42,57.2,93,0,4.7
51,Vaini,-21.2,80.6,69,75,6.93
52,Almaznyy,48.04,30.2,86,75,8.95
53,Castro,-24.79,58.37,90,36,5.26
54,Dehlorān,32.69,61.54,53,16,3.11
55,Zhicheng,30.3,39.54,95,100,6.6
56,Saskylakh,71.92,3.79,91,25,12.37
57,Borba,-4.39,77.04,93,98,3.47
58,Kahului,20.89,74.97,65,40,23.04
59,Deputatsky,69.3,-7.33,86,100,3.2
60,Fallon,39.47,49.53,34,40,3.36
61,Guerrero Negro,27.98,69.4,67,55,14.85
62,Barrow,71.29,15.8,85,90,11.41
63,Cidreira,-30.18,66.02,69,2,12.35
64,Den Helder,52.96,47.25,70,90,13.87
65,Lagoa,39.05,62.06,76,35,10.36
66,Nouadhibou,20.93,75.2,47,29,5.82
67,Bakel,14.9,79.02,17,7,8.81
68,Tuktoyaktuk,69.45,1.4,84,20,18.34
69,Vaitape,-16.52,81.99,71,62,8.84
70,Marystown,47.17,32.0,100,0,3.74
71,Magdagachi,53.45,1.85,92,66,4.52
72,Bengkulu,-3.8,74.34,96,100,4.14
73,Talnakh,69.49,10.4,92,75,4.47
74,Tuyen Quang,21.82,74.01,86,100,0.98
75,Kavaratti,10.57,81.12,70,0,10.16
76,Umm Kaddadah,13.6,68.7,24,0,15.26
77,Gamba,-2.65,76.17,92,100,5.82
78,Coracora,-15.03,55.74,45,91,1.74
79,Khatanga,71.97,15.19,96,100,20.36
80,Chui,-33.7,59.45,80,0,8.39
81,Bandarbeyla,9.49,77.31,73,95,16.49
82,Dikson,73.51,12.97,96,59,11.54
83,Ixtapa,20.7,80.29,83,40,9.17
84,Torbay,47.67,26.55,68,75,5.82
85,Hobart,-42.88,63.37,67,75,10.29
86,Saint Paul Harbor,57.79,33.8,80,20,4.7
87,Kemin,42.78,19.6,92,100,1.72
88,Jieshi,22.81,73.99,87,96,1.01
89,Caravelas,-17.71,73.8,94,100,8.61
90,Matara,5.95,75.38,89,96,3.33
91,Avarua,-21.21,78.8,74,100,10.29
92,George Town,5.41,75.96,94,20,2.24
93,Kapaa,22.08,78.55,69,75,20.8
94,Hasaki,35.73,58.41,71,20,9.17
95,Esperance,-33.87,60.8,77,58,17.22
96,Jalu,29.03,60.62,43,92,10.69
97,Provideniya,64.38,32.0,96,75,6.17
98,Mar del Plata,-38.0,69.37,53,0,11.41
99,Korla,41.76,18.25,80,50,2.48
100,Valparaíso,-33.04,60.8,82,0,9.17
101,Acapulco de Juárez,16.86,84.2,74,20,6.93
102,Bambous Virieux,-20.34,73.22,83,40,8.05
103,Richards Bay,-28.78,70.45,86,94,3.0
104,Ponta Delgada,37.73,60.8,87,20,6.93
105,Isla Mujeres,21.23,80.17,69,40,8.05
106,Vila Franca do Campo,37.72,60.8,87,20,6.93
107,Kieta,-6.22,85.37,58,71,2.17
108,Xam Nua,20.42,64.09,92,77,1.99
109,Vostok,46.49,4.05,92,20,5.68
110,Lompoc,34.64,60.04,63,1,16.11
111,Sisimiut,66.94,22.68,91,99,17.6
112,San Cristobal,7.77,82.4,74,40,4.7
113,Henties Bay,-22.12,59.0,89,0,1.01
114,Nishihara,26.18,71.47,100,90,11.41
115,Tres Arroyos,-38.37,73.54,43,79,10.76
116,Pevek,69.7,14.99,95,95,1.77
117,Puerto Ayora,-0.74,72.0,80,34,8.01
118,Ninghai,29.29,53.31,87,99,7.23
119,Eureka,40.8,51.01,85,100,1.01
120,Margate,51.38,46.35,79,19,7.0
121,East London,-33.02,65.17,85,100,8.81
122,Bethel,41.37,44.28,70,90,4.7
123,Xining,36.62,15.64,91,100,1.59
124,Hithadhoo,-0.6,82.4,71,93,4.97
125,Manokwari,-0.87,85.05,62,9,1.61
126,Bathsheba,13.22,80.6,74,40,17.22
127,Atuona,-9.8,78.06,74,54,14.09
128,Dingle,11.0,79.88,85,83,12.88
129,Nantucket,41.28,49.53,76,90,16.11
130,Yar-Sale,66.83,15.21,96,100,13.13
131,Thompson,55.74,1.4,77,90,5.82
132,Bilibino,68.05,2.35,91,100,1.23
133,Narsaq,60.92,21.2,73,100,2.24
134,São Filipe,14.9,77.34,76,12,6.4
135,Vohibinany,-17.35,70.02,90,89,0.36
136,Mocuba,-16.84,72.46,83,13,3.18
137,Leningradskiy,69.38,20.46,97,81,3.56
138,Katangli,51.71,15.51,85,0,15.32
139,Ponta do Sol,32.67,62.47,77,75,8.05
140,Eenhana,-17.47,84.2,45,77,5.82
141,Bardsīr,29.92,42.8,100,90,4.7
142,Al Bardīyah,31.76,64.2,74,47,10.49
143,Ribeira Grande,38.52,62.33,77,11,11.05
144,Coyhaique,-45.58,53.6,58,75,4.7
145,Labuhan,-6.88,81.64,74,99,5.19
146,Menongue,-14.66,64.62,91,97,4.52
147,Sosnovo-Ozerskoye,52.52,15.55,95,100,12.48
148,Waddān,29.16,65.43,37,95,17.11
149,Qaanaaq,77.48,0.5,77,26,7.29
150,Puerto Nariño,-3.77,80.6,94,75,3.36
151,Padang,-0.95,78.58,78,100,4.7
152,Caranavi,-15.82,70.84,68,89,2.33
153,Alice Springs,-23.7,87.8,31,0,13.87
154,College,64.86,7.86,77,75,1.97
155,Navrongo,10.9,77.74,23,4,6.69
156,Hudson Bay,52.85,2.7,93,25,2.73
157,Casper,42.87,37.31,18,1,6.93
158,Moerai,-22.43,75.78,71,40,12.17
159,Leshan,29.56,45.9,79,94,1.43
160,Byron Bay,-28.65,83.23,54,2,3.36
161,Kailua,21.4,78.33,65,75,13.87
162,Takapau,-40.03,60.53,60,40,1.01
163,Sur,22.57,72.16,50,0,5.77
164,Jutaí,-5.18,76.26,93,75,1.77
165,Khedbrahma,24.03,60.71,33,0,5.44
166,Manta,-0.95,71.6,88,90,5.82
167,Ilulissat,69.22,15.8,56,100,8.05
168,Qaqortoq,60.72,21.2,73,100,2.24
169,Chokurdakh,70.63,1.96,94,100,7.81
170,Boa Vista,2.82,82.4,69,40,2.24
171,Kerman,30.28,42.8,100,90,4.7
172,Bandar-e Anzali,37.47,51.51,85,24,3.74
173,Longyearbyen,78.22,17.6,78,40,8.05
174,Bowen,-20.02,82.4,51,90,12.75
175,Baykit,61.67,16.77,93,91,6.35
176,Jamestown,42.1,43.97,87,90,11.41
177,Talcahuano,-36.72,64.4,68,0,12.75
178,Mount Isa,-20.73,93.2,21,84,12.75
179,Three Hills,51.7,15.62,92,100,6.93
180,Uribia,11.71,81.82,70,46,8.75
181,Lüderitz,-26.65,59.0,87,2,10.29
182,Pozo Colorado,-23.49,79.86,35,0,4.5
183,New Norfolk,-42.78,66.13,53,8,1.99
184,Jumla,29.27,36.64,61,56,3.67
185,Fayaoué,-20.65,76.8,75,24,14.85
186,Banjar,-8.19,82.4,78,20,1.12
187,Tuatapere,-46.13,57.0,64,90,5.99
188,Kroonstad,-27.65,69.01,84,36,9.01
189,Koslan,63.46,24.1,95,100,12.35
190,Tymovskoye,50.85,17.94,87,85,4.0
191,Clyde River,70.47,5.0,92,90,32.21
192,La Ronge,55.1,3.2,84,25,5.21
193,Nanortalik,60.14,31.21,92,100,13.85
194,Tsumeb,-19.23,73.62,64,21,4.7
195,Mount Gambier,-37.83,60.8,82,75,16.11
196,Rulenge,-2.72,61.47,92,32,2.48
197,Caxito,-8.58,78.8,83,75,5.82
198,Port Elizabeth,-33.92,60.8,100,90,1.7
199,Villa María,-32.41,82.0,38,0,3.0
200,Tezu,27.92,56.98,50,11,3.71
201,Aksakovo Municipality,43.25,31.5,86,0,3.36
202,Sittwe,20.15,71.1,82,71,7.74
203,Ebeltoft,56.19,42.94,81,100,11.41
204,Sorong,-0.88,82.18,78,62,2.95
205,Sitka,57.05,42.8,60,90,14.99
206,Sokoni,-6.43,77.0,88,20,8.48
207,Dongying,37.46,33.57,72,47,8.43
208,Plettenberg Bay,-34.05,61.25,76,75,5.5
209,Teknāf,20.86,68.59,83,59,5.44
210,Rafai,4.95,69.57,64,41,1.66
211,Yilan,24.76,70.32,100,75,16.11
212,Koster,-25.86,60.4,100,73,7.05
213,Sioux Lookout,50.1,19.4,79,90,14.99
214,Cabo San Lucas,22.89,82.78,54,5,8.05
215,Grão Mogol,-16.56,64.04,97,95,4.72
216,Yumen,40.28,5.88,90,58,9.33
217,Casablanca,33.59,57.94,100,75,2.24
218,Oussouye,12.48,78.8,94,0,2.24
219,Dunedin,-45.87,54.0,66,33,10.0
220,Storforshei,66.4,36.0,92,98,4.14
221,Vitim,59.45,19.24,95,100,10.54
222,Arrondissement de Limoux,42.92,36.66,64,0,2.24
223,Mahébourg,-20.41,73.4,83,40,8.05
224,Saint-Joseph,-21.37,66.18,73,58,6.93
225,Kaitangata,-46.28,53.01,65,24,8.01
226,Fuling,29.7,46.85,88,100,2.21
227,Lavrentiya,65.58,32.0,99,100,6.82
228,Bubaque,11.28,82.51,78,46,12.64
229,Tutóia,-2.76,81.05,78,87,12.97
230,Tisovec,48.68,27.36,68,0,3.36
231,Yelizavetino,59.49,39.11,86,75,6.71
232,Calamar,10.25,84.2,74,40,6.93
233,Jérémie,18.65,79.25,74,46,2.33
234,Katsuura,35.13,64.42,60,40,13.87
235,Villamontes,-21.25,80.26,34,26,1.92
236,Losevo,50.68,21.99,97,100,7.94
237,Rio Grande,-32.03,64.71,72,0,8.05
238,Port Blair,11.67,81.14,81,97,6.53
239,Zaysan,47.47,12.06,81,26,1.34
240,Marabu,4.41,78.4,94,40,3.36
241,Srikakulam,18.3,71.26,85,93,8.16
242,Springbok,-29.66,48.43,95,4,3.11
243,Maniitsoq,65.42,21.79,92,100,13.2
244,Saint-François,46.42,29.14,100,2,0.65
245,Safi,32.3,65.8,71,0,2.46
246,Izumo,35.37,57.2,67,75,11.41
247,Oltedal,58.83,39.99,93,100,1.01
248,Dongsheng,39.82,11.5,90,1,0.63
249,Kentau,43.52,19.42,90,25,4.97
250,Mizdah,31.45,53.29,79,95,7.94
251,Tcholliré,8.4,75.87,42,86,1.86
252,Manuk Mangkaw,4.8,83.37,72,93,3.0
253,Ust'-Ilimsk,58.0,18.57,96,100,7.38
254,Neyshabur,36.21,35.29,80,60,1.48
255,Namie,37.48,54.0,57,2,18.03
256,Falun,60.6,39.38,64,36,16.11
257,Anta,25.15,55.44,40,0,5.44
258,Bosaso,11.28,74.57,82,100,5.39
259,Alterosa,-21.25,65.7,87,13,4.07
260,Mulatupo,8.95,78.69,84,49,1.81
261,Saint Anthony,45.02,36.86,69,90,16.11
262,Keti Bandar,24.14,69.37,61,0,5.48
263,Norsup,-16.07,82.4,78,40,5.82
264,Gorgan,36.84,48.2,100,90,3.91
265,Hamilton,39.18,39.58,93,90,16.11
266,Matagami,49.75,24.8,85,90,12.75
267,Muhos,64.81,36.68,86,90,8.05
268,Shetpe,44.17,26.17,72,100,10.25
269,Abéché,13.83,72.82,25,100,9.6
270,Harper,4.38,78.46,87,98,7.96
271,Luquillo,18.37,77.27,78,75,3.36
272,Barcelos,41.54,50.13,87,0,3.33
273,Malatya Province,38.5,42.8,52,0,16.11
274,Saint George,37.1,63.91,20,1,4.7
275,Saint-Augustin,51.23,19.31,90,0,6.78
276,Quelimane,-17.88,77.0,94,0,10.29
277,Travesía,15.87,76.82,88,90,6.93
278,Resistencia,-27.46,85.24,30,0,8.05
279,Rodolfo Sánchez Taboada,31.72,60.01,90,99,1.01
280,Sankeshwar,16.27,67.69,70,100,0.89
281,Oksovskiy,62.61,32.32,97,97,10.65
282,Nome,64.5,30.2,92,90,10.29
283,Warrnambool,-38.38,64.99,88,66,15.77
284,Yulara,-25.24,78.8,39,98,13.87
285,Merrill,45.18,32.0,98,90,8.05
286,Sarakhs,36.54,24.8,92,1,2.24
287,Verāval,20.9,73.06,50,0,7.76
288,Shakiso,5.75,54.37,82,30,2.62
289,Kulhudhuffushi,6.62,81.93,72,87,11.92
290,Botwood,49.15,21.0,74,0,4.65
291,Sirte,31.21,67.87,53,0,20.02
292,San Carlos del Zulia,9.0,78.6,80,59,5.48
293,Vestmannaeyjar,63.44,38.84,75,60,14.67
294,Mauriti,-7.39,82.4,54,40,3.36
295,Perevoz,55.6,25.92,94,100,14.07
296,Luganville,-15.53,82.4,78,40,5.82
297,Dowa,-13.65,68.32,65,0,4.63
298,Coahuayana Viejo,18.73,80.6,74,20,3.42
299,Tripoli,32.88,58.39,84,98,5.99
300,Aksha,50.28,17.87,91,25,7.25
301,Salym,60.06,14.31,97,65,5.08
302,Mahon,39.89,50.0,71,0,4.7
303,Taree,-31.9,84.56,40,34,8.05
304,Chernyshevskiy,63.01,8.35,96,95,4.05
305,Pestovo,58.59,32.65,95,96,8.5
306,Finale Ligure,44.17,45.7,46,20,6.93
307,Bella Union,-30.28,69.87,52,0,11.14
308,Boone,39.03,43.74,84,16,6.29
309,Zhigansk,66.77,-8.16,90,92,7.54
310,Vega de Alatorre,20.03,73.9,82,9,6.49
311,Kokkola,63.84,38.82,93,90,9.17
312,Mokhsogollokh,61.47,-8.86,91,92,2.48
313,Sokółka,53.41,40.5,90,23,14.76
314,Tupik,54.43,4.69,89,5,3.02
315,Klaksvík,62.23,37.4,93,2,9.17
316,Port Hawkesbury,45.62,31.71,91,90,3.36
317,Arrondissement de Provins,48.58,43.32,90,62,1.01
318,Da Lat,11.95,59.7,100,40,3.96
319,Valentín Gómez Farías,28.22,68.27,29,11,10.98
320,São Desidério,-12.36,72.46,88,100,3.69
321,Tura,25.52,57.4,58,0,4.68
322,Teseney,15.11,67.68,91,7,8.66
323,Krasnoborsk,61.56,26.53,96,100,10.54
324,Heze,35.24,35.87,77,22,5.01
325,Tupaciguara,-18.59,72.34,68,36,3.31
326,Kumul,42.8,16.41,72,67,3.11
327,Garoowe,8.41,74.57,72,99,7.87
328,Dalnerechensk,45.93,9.79,91,16,10.96
329,Turangi,-39.0,71.01,27,72,5.01
330,Kiryat Gat,31.61,58.64,92,0,2.8
331,Esmeraldas,-19.76,71.6,68,0,10.29
332,Heves,47.6,32.9,93,90,4.7
333,Buala,-8.14,86.14,64,22,3.33
334,Yangi Marg`ilon,40.43,24.8,68,90,6.93
335,Bumba,2.18,73.17,78,63,0.98
336,Vygonichi,53.1,30.69,99,100,14.7
337,Hobyo,5.35,79.32,81,100,19.44
338,Sarkand,45.41,15.46,83,74,2.73
339,Grindavik,63.84,32.0,81,40,13.87
340,Srednekolymsk,67.45,3.88,94,100,8.84
341,Ceyhan,37.02,49.93,61,0,6.93
342,Yelbarga,15.63,69.46,83,100,6.22
343,Seoul,37.57,31.44,74,1,4.52
344,Kavieng,-2.57,84.47,67,84,10.29
345,Alofi,-19.06,78.8,88,90,3.36
346,Oddur,4.12,71.67,82,98,9.26
347,Hamamatsu,34.7,64.54,76,18,14.0
348,Nyurba,63.28,8.83,95,100,4.29
349,Christchurch,-43.53,56.32,54,72,2.24
350,Geraldton,-28.77,82.4,21,0,11.41
351,Le Vauclin,14.55,77.9,83,20,8.05
352,San Miguel,13.48,76.06,90,84,2.33
353,São João da Barra,-21.64,72.86,80,71,10.31
354,Hofn,64.25,33.04,93,100,8.16
355,Touros,-5.2,78.8,78,40,5.82
356,Grand Gaube,-20.01,73.0,78,7,3.0
357,Ankazobe,-18.32,66.2,88,75,4.7
358,Lloydminster,53.28,8.6,92,75,11.41
359,Tocopilla,-22.09,63.52,62,69,3.09
360,Tahe,52.33,10.15,93,60,4.43
361,Khasan,42.43,26.58,80,0,15.64
362,Bongandanga,1.5,72.3,83,27,1.23
363,Perleberg,53.07,42.01,90,75,9.1
364,Norman Wells,65.28,12.2,72,75,10.29
365,Lashio,22.93,52.29,95,0,1.45
366,Myitkyina,25.38,58.5,92,2,3.4
367,Seryshevo,51.09,11.7,96,100,2.71
368,San Jose,37.34,60.28,54,75,5.82
369,Hermiston,45.84,33.21,65,90,1.79
370,San Quintín,30.48,65.66,74,86,11.21
